Compare;Size;Assignment
110302;469;166623
111023;470;167707
111064;471;167771
111633;472;168627
112396;473;169774
112587;474;170063
113462;475;171378
113733;476;171787
113856;477;171974
114637;478;173148
115356;479;174229
115943;480;175112
116606;481;176109
116743;482;176317
117226;483;177044
117525;484;177495
118224;485;178546
118351;486;178739
118920;487;179595
119629;488;180661
120328;489;181712
120931;490;182619
121318;491;183202
122219;492;184556
122744;493;185346
122815;494;185455
123310;495;186200
123323;496;186222
123894;497;187081
124599;498;188141
125592;499;189633
126473;500;190957
127006;501;191759
127311;502;192219
128236;503;193609
128381;504;193829
129190;505;195045
129903;506;196117
130464;507;196961
130989;508;197751
131138;509;197977
132059;510;199361
132396;511;199869
132927;512;200668
133702;513;201833
134195;514;202575
135094;515;203926
136023;516;205322
136172;517;205548
137165;518;207040
137728;519;207887
137939;520;208206
138248;521;208672
138379;522;208871
138844;523;209571
139061;524;209899
139310;525;210275
139805;526;211020
139918;527;211192
139933;528;211217
140458;529;212007
140615;530;212245
141674;531;213836
142295;532;214770
143082;533;215953
143655;534;216815
144256;535;217719
144263;536;217732
144270;537;217745
145155;538;219075
145512;539;219613
145743;540;219962
146754;541;221481
146893;542;221692
147092;543;221993
147477;544;222573
148298;545;223807
148353;546;223892
148846;547;224634
148885;548;224695
149472;549;225578
149555;550;225705
149822;551;226108
150321;552;226859
151190;553;228165
151995;554;229375
152240;555;229745
152931;556;230784
153718;557;231967
154207;558;232703
154866;559;233694
155749;560;235021
156564;561;236246
156625;562;236340
157198;563;237202
157577;564;237773
157884;565;238236
158121;566;238594
158524;567;239201
159423;568;240552
160186;569;241699
161131;570;243119
161364;571;243471
161647;572;243898
162416;573;245054
163237;574;246288
163882;575;247258
164101;576;247589
164166;577;247689
164707;578;248503
165116;579;249119
165205;580;249255
165960;581;250390
166967;582;251903
167522;583;252738
168539;584;254266
169176;585;255224
170247;586;256833
171222;587;258298
171991;588;259454
172030;589;259515
172289;590;259906
173354;591;261506
174307;592;262938
174800;593;263680
175709;594;265046
175974;595;265446
176731;596;266584
177302;597;267443
177583;598;267867
178088;599;268627
179005;600;270005
179404;601;270606
180087;602;271633
180582;603;272378
181577;604;273873
182188;605;274792
183265;606;276410
183678;607;277032
183699;608;277066
184434;609;278171
185351;610;279549
186490;611;281260
187307;612;282488
187612;613;282948
188465;614;284230
189284;615;285461
190229;616;286881
190774;617;287701
191867;618;289343
192510;619;290310
192723;620;290632
193308;621;291512
193495;622;291795
194602;623;293458
195209;624;294371
195382;625;294633
195569;626;294916
195746;627;295184
196097;628;295713
196770;629;296725
197499;630;297821
198294;631;299016
198519;632;299356
198630;633;299525
199253;634;300462
199624;635;301021
200213;636;301907
200952;637;303018
202223;638;304927
202472;639;305303
203349;640;306621
204192;641;307888
205101;642;309254
206154;643;310836
207161;644;312349
207318;645;312587
207421;646;312744
